Date,Event,Venue,City / Area,Ticket Price,Sales Info,Source
"22 Apr 2022","SAMA Paisley Takeover featuring corto.alto, Kitti and Nathan Somevi","The Bungalow","Paisley","GBP 12","Public ticket price and book-ticket listing found; exact tickets sold not public","https://paisley.is/events/a654b827-7ef5-d79d-1d2b-6126001bbc3d/"
"14 Jul 2023","Nathan Somevi Trio","The Jazz Bar","Edinburgh","GBP 12.50","Public ticket price found in Edinburgh Jazz & Blues Festival brochure; exact tickets sold not public","https://theedinburghreporter.co.uk/wp-content/uploads/2023/07/202303_EJBF23-Brochure_10-ONLINE-2.pdf"
"15 Jul 2023","Jazz at the Glad Weekender: Nathan Somevi","The Glad Cafe","Glasgow","GBP 7 / GBP 13 all-day ticket","Public ticket price found; exact tickets sold not public","https://www.thegladcafe.co.uk/events/2023-07-15-jazz-at-the-glad-weekender-nathan-somevi-the-glad-cafe"
"28 Mar 2024","INDIA BLUE EP Launch with Nathan Somevi","The Rum Shack","Glasgow","GBP 8 advance / GBP 7 concession","Public ticket price and buy-ticket listing found; exact tickets sold not public","https://www.rumshackglasgow.com/events/kmwwatnpx3xh583-ynr46-ga26s-58szc-esghz-fbygc-s453w-8z7xe-j64ml-s23bn-ahldd-nc9sh-k6a6x"
"12 Jul 2024","Nathan Somevi","The Jazz Bar","Edinburgh","GBP 12.50","Public ticket price found in Edinburgh Jazz & Blues Festival programme text; exact tickets sold not public","https://manuals.plus/m/1f9ca6f0764273e86b84ccc6e289b8af325f24ce192b7094e96678717e0df730"
"19 Sep 2024","Zoe Rahman with Helena Kay and Nathan Somevi Trio","The Queen's Hall","Edinburgh","GBP 25-GBP 5","Public ticket price range found; exact tickets sold not public","https://www.thequeenshall.net/whats-on/zoe-rahman-solo-piano-and-duets-helena-kay"
"22 Jun 2025","Glasgow Jazz Festival: The New Jazzwegians feat. Azamiah, AKU! and Nathan Somevi Trio","Saint Luke's","Glasgow","GBP 8.50 + GBP 1 venue levy","Public ticket price and buy-ticket listing found; exact tickets sold not public","https://tickets-scotland.com/events.html?event_id=dd381009-420f-11f0-8003-06a8e41a7b0b&event_method=viewevent"
"15 Jul 2025","Nathan Somevi: Future Afro Jazz","The Jazz Bar","Edinburgh","GBP 12.50","Public listing indexed as Sold Out; exact tickets sold not public","https://ejbf.co.uk/products/nathan-somevi-future-afro-jazz"
"27 Aug 2025","Endless Summer: Plant Science + Nathan Somevi + Rachel Duns","The Hug and Pint","Glasgow","GBP 10","Public ticket price found; ticket page says not available online at time of capture; exact tickets sold not public","https://tickets-scotland.com/events.html?event_id=461817bf-51a1-11f0-b092-0acde5f0a875&event_method=viewevent"
"13 Nov 2025","Nathan Somevi","The Jazz Bar","Edinburgh","GBP 9 early bird / GBP 12 on the door","Public ticket price and ticket link found; exact tickets sold not public","https://www.thejazzbar.co.uk/draft-november-2025-full-live-music-listings/"
"21 Jan 2026","Federation of the Disco Pimp and Nathan Somevi & Jess Koffie","Oran Mor","Glasgow","GBP 20.16","Public ticket price and buy-ticket listing found; exact tickets sold not public","https://www.celticconnections.com/event/1/federation-of-the-disco-pimp-and-nathan-somevi-jess-koffie/"
"15 Mar 2026","Jazz the Day City / Aberdeen Jazz Festival","Cowdray Hall, Craig Centre, Revolution de Cuba","Aberdeen","GBP 5 mentioned","Public ticket page showed Sold out; exact tickets sold not public","https://jazzscotland.com/products/jazz-the-day-city-1"
"1 Apr 2026","Nathan Somevi","The Jazz Bar","Edinburgh","GBP 12 advance / on door","Public ticket price and ticket link found; exact tickets sold not public","https://www.thejazzbar.co.uk/1-15th-april-full-live-music-listings/"
"14 Jun 2026","Glasgow Jazz Festival: New Jazzwegians featuring Nathan Somevi Trio","Old Fruitmarket","Glasgow","GBP 23.90","Public ticket price and buy-ticket listing found; exact tickets sold not public","https://www.glasgowlife.org.uk/event/1/glasgow-jazz-festival-2026-new-jazzwegians"
